Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Disease
chills,congestion,headache,muscle_pain,sinus_pressure,throat_irritation,phlegm,chest_pain,redness_of_eyes,swelled_lymph_nodes,malaise,runny_nose,pain_during_bowel_movements,loss_of_smell,continuous_sneezing,fatigue,,common cold
chills,muscle_pain,sinus_pressure,phlegm,chest_pain,swelled_lymph_nodes,redness_of_eyes,malaise,runny_nose,cough,loss_of_smell,high_fever,continuous_sneezing,fatigue,extra_marital_contacts,,,common cold
chills,muscle_pain,headache,congestion,sinus_pressure,throat_irritation,redness_of_eyes,chest_pain,cough,runny_nose,loss_of_smell,shivering,continuous_sneezing,fatigue,headache,,,common cold
chills,congestion,headache,muscle_pain,foul_smell_of_urine,sinus_pressure,swelled_lymph_nodes,chest_pain,phlegm,cough,loss_of_smell,high_fever,continuous_sneezing,fatigue,,,,common cold
chills,silver_like_dusting,fatigue,breathlessness,chest_pain,malaise,cough,high_fever,fast_heart_rate,sweating,headache,,,,,,,pneumonia
chills,sunken_eyes,phlegm,chest_pain,breathlessness,malaise,cough,rusty_sputum,high_fever,fatigue,sweating,fatigue,,,,,,pneumonia
congestion,phlegm,fatigue,breathlessness,cough,malaise,rusty_sputum,high_fever,fast_heart_rate,sweating,,,,,,,,pneumonia
chills,phlegm,chest_pain,breathlessness,malaise,diarrhoea,rusty_sputum,high_fever,fast_heart_rate,sweating,vomiting,,,,,,,pneumonia
chills,coma,phlegm,chest_pain,breathlessness,fatigue,rusty_sputum,high_fever,fast_heart_rate,sweating,,,,,,,,pneumonia
phlegm,chest_pain,breathlessness,fatigue,malaise,cough,rusty_sputum,abdominal_pain,fast_heart_rate,sweating,,,,,,,,pneumonia
chills,phlegm,fatigue,chest_pain,cough,malaise,history_of_alcohol_consumption,rusty_sputum,high_fever,fast_heart_rate,,,,,,,,pneumonia
chills,loss_of_balance,phlegm,chest_pain,breathlessness,malaise,cough,rusty_sputum,high_fever,fast_heart_rate,,,,,,,,pneumonia
chills,chest_pain,breathlessness,cough,dark_urine,rusty_sputum,high_fever,fast_heart_rate,fatigue,sweating,,,,,,,,pneumonia
constipation,pain_in_anal_region,irritation_in_anus,yellow_crust_ooze,bloody_stool,,,,,,,,,,,,,dimorphic hemmorhoids(piles)
inflammatory_nails,pain_in_anal_region,pain_during_bowel_movements,irritation_in_anus,,,,,,,,,,,,,,dimorphic hemmorhoids(piles)
pain_in_anal_region,irritation_in_anus,bloody_stool,bladder_discomfort,,,,,,,,,,,,,,dimorphic hemmorhoids(piles)
knee_pain,constipation,pain_during_bowel_movements,bloody_stool,,,,,,,,,,,,,,dimorphic hemmorhoids(piles)
constipation,irritation_in_anus,pain_during_bowel_movements,prominent_veins_on_calf,,,,,,,,,,,,,,dimorphic hemmorhoids(piles)
depression,pain_in_anal_region,pain_during_bowel_movements,bloody_stool,fatigue,,,,,,,,,,,,,dimorphic hemmorhoids(piles)
rusty_sputum,chest_pain,breathlessness,vomiting,,,,,,,,,,,,,,heart attack
depression,breathlessness,sweating,,,,,,,,,,,,,,,heart attack
restlessness,chest_pain,vomiting,,,,,,,,,,,,,,,heart attack
acidity,breathlessness,vomiting,,,,,,,,,,,,,,,heart attack
pus_filled_pimples,vomiting,sweating,,,,,,,,,,,,,,,heart attack
obesity,swollen_legs,dehydration,prominent_veins_on_calf,bruising,swollen_blood_vessels,fatigue,,,,,,,,,,,varicose veins
obesity,cramps,swollen_legs,swollen_extremeties,bruising,swollen_blood_vessels,,,,,,,,,,,,varicose veins
obesity,swollen_legs,chest_pain,bruising,swollen_blood_vessels,fatigue,,,,,,,,,,,,varicose veins
swollen_legs,prominent_veins_on_calf,swollen_blood_vessels,scurring,cramps,fatigue,,,,,,,,,,,,varicose veins
cramps,swollen_legs,throat_irritation,prominent_veins_on_calf,swollen_blood_vessels,fatigue,,,,,,,,,,,,varicose veins
obesity,cramps,prominent_veins_on_calf,bruising,yellow_urine,swollen_blood_vessels,fatigue,,,,,,,,,,,varicose veins
obesity,swollen_legs,prominent_veins_on_calf,dizziness,cramps,fatigue,headache,,,,,,,,,,,varicose veins
irregular_sugar_level,obesity,cramps,bruising,swollen_blood_vessels,fatigue,vomiting,,,,,,,,,,,varicose veins
abnormal_menstruation,mood_swings,lethargy,weight_gain,swollen_extremeties,brittle_nails,cold_hands_and_feets,irritability,depression,enlarged_thyroid,spotting__urination,fatigue,puffy_face_and_eyes,,,,,hypothyroidism
abnormal_menstruation,mood_swings,back_pain,lethargy,weight_gain,swollen_extremeties,brittle_nails,depression,irritability,cold_hands_and_feets,enlarged_thyroid,puffy_face_and_eyes,,,,,,hypothyroidism
abnormal_menstruation,mood_swings,lethargy,swollen_extremeties,dizziness,irritability,depression,cold_hands_and_feets,enlarged_thyroid,neck_pain,fatigue,puffy_face_and_eyes,,,,,,hypothyroidism
mood_swings,abnormal_menstruation,lethargy,weight_gain,swollen_extremeties,brittle_nails,skin_peeling,irritability,depression,enlarged_thyroid,fatigue,puffy_face_and_eyes,,,,,,hypothyroidism
abnormal_menstruation,lethargy,weight_gain,swollen_extremeties,pain_during_bowel_movements,brittle_nails,dizziness,depression,cold_hands_and_feets,irritability,enlarged_thyroid,vomiting,,,,,,hypothyroidism
mood_swings,abnormal_menstruation,weight_gain,swollen_extremeties,knee_pain,brittle_nails,dizziness,irritability,cold_hands_and_feets,depression,enlarged_thyroid,fatigue,,,,,,hypothyroidism
abnormal_menstruation,mood_swings,lethargy,weight_gain,nodal_skin_eruptions,brittle_nails,cold_hands_and_feets,irritability,depression,enlarged_thyroid,fatigue,puffy_face_and_eyes,nausea,,,,,hypothyroidism
mood_swings,abnormal_menstruation,yellowish_skin,weight_gain,swollen_extremeties,brittle_nails,dizziness,irritability,depression,cold_hands_and_feets,fatigue,,,,,,,hypothyroidism
abnormal_menstruation,mood_swings,muscle_weakness,weight_loss,restlessness,indigestion,diarrhoea,irritability,fast_heart_rate,fatigue,sweating,vomiting,,,,,,hyperthyroidism
weight_loss,mood_swings,muscle_weakness,restlessness,excessive_hunger,diarrhoea,irritability,fast_heart_rate,sweating,,,,,,,,,hyperthyroidism
abnormal_menstruation,weight_loss,muscle_weakness,restlessness,fatigue,diarrhoea,irritability,fast_heart_rate,sweating,,,,,,,,,hyperthyroidism
abnormal_menstruation,muscle_weakness,restlessness,fatigue,excessive_hunger,diarrhoea,muscle_wasting,irritability,fast_heart_rate,sweating,,,,,,,,hyperthyroidism
abnormal_menstruation,mood_swings,muscle_weakness,weight_loss,excessive_hunger,diarrhoea,fast_heart_rate,spotting__urination,fatigue,sweating,,,,,,,,hyperthyroidism
weight_loss,mood_swings,muscle_weakness,abnormal_menstruation,restlessness,fluid_overload,excessive_hunger,diarrhoea,irritability,fatigue,,,,,,,,hyperthyroidism
weight_loss,mood_swings,muscle_weakness,restlessness,knee_pain,excessive_hunger,irritability,fast_heart_rate,fatigue,sweating,,,,,,,,hyperthyroidism
constipation,abnormal_menstruation,mood_swings,muscle_weakness,restlessness,excessive_hunger,diarrhoea,irritability,fatigue,sweating,,,,,,,,hyperthyroidism
weight_loss,mood_swings,muscle_weakness,abnormal_menstruation,fatigue,diarrhoea,irritability,fast_heart_rate,sweating,,,,,,,,,hyperthyroidism
slurred_speech,headache,vomiting,weight_gain,excessive_hunger,palpitations,irritability,anxiety,blurred_and_distorted_vision,fatigue,sweating,,,,,,,hypoglycemia
weight_loss,headache,excessive_hunger,palpitations,irritability,sweating,anxiety,blurred_and_distorted_vision,nausea,fatigue,vomiting,,,,,,,hypoglycemia
slurred_speech,headache,red_spots_over_body,excessive_hunger,palpitations,irritability,drying_and_tingling_lips,anxiety,nausea,sweating,,,,,,,,hypoglycemia
slurred_speech,headache,excessive_hunger,palpitations,malaise,irritability,drying_and_tingling_lips,blurred_and_distorted_vision,nausea,sweating,vomiting,,,,,,,hypoglycemia
headache,excessive_hunger,palpitations,irritability,shivering,sweating,drying_and_tingling_lips,blurred_and_distorted_vision,nausea,fatigue,vomiting,,,,,,,hypoglycemia
abnormal_menstruation,headache,excessive_hunger,palpitations,irritability,drying_and_tingling_lips,anxiety,blurred_and_distorted_vision,nausea,fatigue,vomiting,,,,,,,hypoglycemia
slurred_speech,weight_gain,excessive_hunger,palpitations,sweating,drying_and_tingling_lips,anxiety,nausea,fatigue,vomiting,,,,,,,,hypoglycemia
slurred_speech,headache,weakness_in_limbs,excessive_hunger,irritability,sweating,drying_and_tingling_lips,anxiety,blurred_and_distorted_vision,fatigue,vomiting,fatigue,,,,,,hypoglycemia
slurred_speech,headache,phlegm,excessive_hunger,palpitations,irritability,sweating,anxiety,nausea,fatigue,vomiting,,,,,,,hypoglycemia
hip_joint_pain,swelling_joints,knee_pain,painful_walking,loss_of_smell,neck_pain,,,,,,,,,,,,osteoarthristis
hip_joint_pain,swelling_joints,knee_pain,weakness_of_one_body_side,neck_pain,,,,,,,,,,,,,osteoarthristis
hip_joint_pain,swelling_joints,joint_pain,painful_walking,continuous_sneezing,nausea,,,,,,,,,,,,osteoarthristis
hip_joint_pain,joint_pain,painful_walking,rusty_sputum,neck_pain,,,,,,,,,,,,,osteoarthristis
swelling_joints,neck_pain,joint_pain,painful_walking,spotting__urination,,,,,,,,,,,,,osteoarthristis
hip_joint_pain,joint_pain,painful_walking,anxiety,neck_pain,nausea,,,,,,,,,,,,osteoarthristis
hip_joint_pain,swelling_joints,knee_pain,joint_pain,muscle_wasting,nausea,,,,,,,,,,,,osteoarthristis
muscle_weakness,movement_stiffness,brittle_nails,stiff_neck,painful_walking,,,,,,,,,,,,,arthritis
dischromic__patches,swelling_joints,painful_walking,movement_stiffness,,,,,,,,,,,,,,arthritis
stiff_neck,painful_walking,movement_stiffness,muscle_weakness,,,,,,,,,,,,,,arthritis
stiff_neck,movement_stiffness,muscle_weakness,yellow_crust_ooze,,,,,,,,,,,,,,arthritis
stiff_neck,painful_walking,blood_in_sputum,swelling_joints,,,,,,,,,,,,,,arthritis
stiff_neck,phlegm,movement_stiffness,muscle_weakness,,,,,,,,,,,,,,arthritis
headache,toxic_look_(typhos),unsteadiness,spinning_movements,nausea,vomiting,,,,,,,,,,,,(vertigo) paroymsal  positional vertigo
loss_of_balance,headache,spinning_movements,nausea,coma,vomiting,,,,,,,,,,,,(vertigo) paroymsal  positional vertigo
unsteadiness,spinning_movements,nausea,internal_itching,vomiting,vomiting,,,,,,,,,,,,(vertigo) paroymsal  positional vertigo
headache,patches_in_throat,unsteadiness,spinning_movements,vomiting,,,,,,,,,,,,,(vertigo) paroymsal  positional vertigo
loss_of_balance,headache,unsteadiness,nausea,vomiting,,,,,,,,,,,,,(vertigo) paroymsal  positional vertigo
headache,unsteadiness,spinning_movements,receiving_unsterile_injections,nausea,,,,,,,,,,,,,(vertigo) paroymsal  positional vertigo
loss_of_balance,spinning_movements,family_history,nausea,vomiting,,,,,,,,,,,,,(vertigo) paroymsal  positional vertigo
scurring,skin_rash,stiff_neck,blackheads,,,,,,,,,,,,,,acne
blackheads,scurring,swollen_legs,nausea,,,,,,,,,,,,,,acne
blackheads,scurring,patches_in_throat,,,,,,,,,,,,,,,acne
scurring,skin_rash,rusty_sputum,,,,,,,,,,,,,,,acne
blackheads,pus_filled_pimples,congestion,nausea,,,,,,,,,,,,,,acne
continuous_feel_of_urine,visual_disturbances,burning_micturition,bladder_discomfort,,,,,,,,,,,,,,urinary tract infection
abdominal_pain,continuous_feel_of_urine,bladder_discomfort,,,,,,,,,,,,,,,urinary tract infection
continuous_feel_of_urine,prominent_veins_on_calf,foul_smell_of_urine,nausea,,,,,,,,,,,,,,urinary tract infection
continuous_feel_of_urine,brittle_nails,bladder_discomfort,,,,,,,,,,,,,,,urinary tract infection
pain_during_bowel_movements,burning_micturition,foul_smell_of_urine,,,,,,,,,,,,,,,urinary tract infection
silver_like_dusting,muscle_weakness,small_dents_in_nails,skin_rash,inflammatory_nails,skin_peeling,,,,,,,,,,,,psoriasis
silver_like_dusting,joint_pain,swelling_of_stomach,inflammatory_nails,skin_peeling,,,,,,,,,,,,,psoriasis
silver_like_dusting,throat_irritation,skin_rash,inflammatory_nails,skin_peeling,,,,,,,,,,,,,psoriasis
silver_like_dusting,phlegm,small_dents_in_nails,skin_rash,inflammatory_nails,,,,,,,,,,,,,psoriasis
joint_pain,bruising,skin_rash,inflammatory_nails,skin_peeling,,,,,,,,,,,,,psoriasis
silver_like_dusting,joint_pain,dizziness,inflammatory_nails,skin_peeling,,,,,,,,,,,,,psoriasis
silver_like_dusting,muscle_weakness,joint_pain,small_dents_in_nails,skin_rash,vomiting,,,,,,,,,,,,psoriasis
blister,red_sore_around_nose,yellow_crust_ooze,toxic_look_(typhos),high_fever,,,,,,,,,,,,,impetigo
history_of_alcohol_consumption,blister,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,,,impetigo
skin_rash,blurred_and_distorted_vision,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,,,impetigo
stiff_neck,skin_rash,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,,,impetigo
weight_gain,skin_rash,high_fever,yellow_crust_ooze,,,,,,,,,,,,,,impetigo
skin_rash,blister,red_sore_around_nose,continuous_sneezing,,,,,,,,,,,,,,impetigo
